Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",107194,80569,24017,387,1061,85,1075
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2271,2043,111,34,19,10,54
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",52314,38510,12591,159,535,31,488
est72010,"July 1, 2010",female,Female,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",54585,40553,12702,193,554,41,542
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2817,2550,123,54,31,11,48
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",50461,37954,11327,143,505,33,499
est72010,"July 1, 2010",male,Male,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",53278,40504,11450,197,536,44,547
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",5088,4593,234,88,50,21,102
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",102775,76464,23918,302,1040,64,987
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",107863,81057,24152,390,1090,85,1089
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",2389,2125,132,38,21,14,59
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0500000US22005,22005,"Ascension Parish, Louisiana",53395,39132,12980,157,549,35,542
est72011,"July 1, 2011",female,Female,tothisp,Total,0500000US22005,22005,"Ascension Parish, Louisiana",55784,41257,13112,195,570,49,601
