geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
14000US22103040305,"Census Tract 403.05, St. Tammany, LA",11275,596,10732,606,348,174,4,7,1,5,0,19,62,55,128,90,0,19,128,90
14000US22103040400,"Census Tract 404, St. Tammany, LA",7021,555,6517,568,407,296,0,17,17,37,0,17,20,31,60,57,22,25,38,55
14000US22103040501,"Census Tract 405.01, St. Tammany, LA",4097,301,1862,267,2183,312,18,21,0,12,8,15,9,17,17,22,0,12,17,22
14000US22103040502,"Census Tract 405.02, St. Tammany, LA",3589,297,2683,233,862,222,0,12,0,12,0,12,0,12,44,49,12,20,32,33
14000US22103040601,"Census Tract 406.01, St. Tammany, LA",2011,240,1977,243,18,25,12,20,0,12,0,12,0,12,4,8,0,12,4,8
14000US22103040602,"Census Tract 406.02, St. Tammany, LA",2306,272,2263,270,0,12,10,17,0,12,0,12,11,18,22,39,0,12,22,39
14000US22103040604,"Census Tract 406.04, St. Tammany, LA",8293,690,7643,736,307,179,0,17,71,82,0,17,193,222,79,67,22,39,57,52
14000US22103040605,"Census Tract 406.05, St. Tammany, LA",6524,456,5689,461,622,225,0,17,165,172,0,17,0,17,48,74,48,74,0,17
14000US22103040701,"Census Tract 407.01, St. Tammany, LA",9402,612,7220,689,1791,435,42,48,88,77,0,17,25,38,236,255,0,17,236,255
14000US22103040704,"Census Tract 407.04, St. Tammany, LA",5683,545,4686,476,728,270,128,201,42,55,0,17,5,10,94,101,0,17,94,101
14000US22103040705,"Census Tract 407.05, St. Tammany, LA",5691,645,4488,649,1029,425,42,76,12,19,0,17,47,57,73,56,37,37,36,48
14000US22103040706,"Census Tract 407.06, St. Tammany, LA",5029,581,4730,574,126,84,13,17,0,17,0,17,0,17,160,125,0,17,160,125
14000US22103040708,"Census Tract 407.08, St. Tammany, LA",6430,508,5404,538,724,173,21,32,222,197,0,17,24,33,35,59,0,17,35,59
14000US22103040709,"Census Tract 407.09, St. Tammany, LA",4292,399,3973,428,131,99,7,11,88,90,0,12,61,71,32,38,0,12,32,38
14000US22103040710,"Census Tract 407.10, St. Tammany, LA",6188,412,4755,535,781,348,15,22,306,212,47,53,156,228,128,120,0,17,128,120
14000US22103040801,"Census Tract 408.01, St. Tammany, LA",5155,465,3288,394,1069,320,258,172,16,26,20,30,341,322,163,101,0,17,163,101
14000US22103040802,"Census Tract 408.02, St. Tammany, LA",6923,527,5687,706,672,648,0,17,485,277,0,17,6,13,73,79,0,17,73,79
14000US22103040803,"Census Tract 408.03, St. Tammany, LA",9610,812,4230,578,4616,659,36,47,286,184,0,17,223,161,219,148,66,99,153,104
14000US22103040900,"Census Tract 409, St. Tammany, LA",3092,439,1330,327,1651,399,9,14,0,12,0,12,42,34,60,55,0,12,60,55
14000US22103041002,"Census Tract 410.02, St. Tammany, LA",3112,292,2937,294,88,87,5,11,0,12,0,12,18,30,64,56,0,12,64,56
14000US22103041003,"Census Tract 410.03, St. Tammany, LA",5222,490,4624,439,494,166,0,17,0,17,0,17,38,71,66,56,20,32,46,46
14000US22103041004,"Census Tract 410.04, St. Tammany, LA",4342,306,4051,318,120,82,0,12,35,37,0,12,67,78,69,47,10,15,59,45
14000US22103041101,"Census Tract 411.01, St. Tammany, LA",4079,419,3270,317,735,327,0,12,0,12,0,12,24,36,50,49,0,12,50,49
14000US22103041102,"Census Tract 411.02, St. Tammany, LA",6893,666,4654,559,2022,449,18,26,7,13,0,17,95,115,97,65,26,32,71,55
14000US22103041103,"Census Tract 411.03, St. Tammany, LA",3421,400,2256,399,921,274,0,12,29,44,0,12,94,149,121,131,0,12,121,131
14000US22103041104,"Census Tract 411.04, St. Tammany, LA",3405,352,2763,364,503,298,12,21,0,12,0,12,0,12,127,133,0,12,127,133
14000US22103041202,"Census Tract 412.02, St. Tammany, LA",2896,456,1812,329,793,441,31,33,0,12,0,12,192,232,68,64,0,12,68,64
14000US22103041204,"Census Tract 412.04, St. Tammany, LA",7768,628,6316,567,1170,274,45,54,0,17,36,43,116,122,85,99,0,17,85,99
14000US22103041207,"Census Tract 412.07, St. Tammany, LA",4192,330,3695,347,139,145,6,11,104,101,0,12,20,30,228,191,13,23,215,192
